"Save and Continue Edit","Save and Continue Edit"
"Edit Order Attribute ""%1""","Edit Order Attribute ""%1"""
"New Order Attribute","New Order Attribute"
"Depend Attributes","Depend Attributes"
None,None
No,No
Yes,Yes
"Select a parent field","Select a parent field"
"Depend on options","Depend on options"
"Select the following options to show  this current attribute","Select the following options to show  this current attribute"
"Depend on shipping methods","Depend on shipping methods"
"This attribute will be shown depending on selected shipping method(s).<br/>Hold down ctrl key while clicking to deselect an option.","This attribute will be shown depending on selected shipping method(s).<br/>Hold down ctrl key while clicking to deselect an option."
"Frontend Properties","Frontend Properties"
Position,Position
"Compatible with <a href=""%1"" target=""_blank"">One Step Checkout</a>","Compatible with <a href=""%1"" target=""_blank"">One Step Checkout</a>"
"Use Tooltip","Use Tooltip"
"Enter tooltips in Manage Labels / Options tab","Enter tooltips in Manage Labels / Options tab"
"Store View","Store View"
"Customer Group","Customer Group"
"Add to Sales Order View","Add to Sales Order View"
"Select <b>Yes</b> to add this attribute to the Order View Page (include PDF printout).","Select <b>Yes</b> to add this attribute to the Order View Page (include PDF printout)."
"Sort Order","Sort Order"
"The priority of attributes display. The smallest (0) is the top priority.","The priority of attributes display. The smallest (0) is the top priority."
Properties,Properties
"Default Label","Default Label"
"Default label","Default label"
"Attribute Code","Attribute Code"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols.","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols."
"Input Type","Input Type"
"Maximum File Size","Maximum File Size"
"File size in bytes.","File size in bytes."
"Allow File Formats","Allow File Formats"
"Separated by comma(,). Example pdf,doc,zip,jpg,png,gif,jpeg","Separated by comma(,). Example pdf,doc,zip,jpg,png,gif,jpeg"
"Default Value","Default Value"
"Values Required","Values Required"
"Input Validation","Input Validation"
"Input/Output Filter","Input/Output Filter"
"Add to Sales Order Grid","Add to Sales Order Grid"
"Column(s) will be added to column options, filter options & search options of Sales Order Grid.","Column(s) will be added to column options, filter options & search options of Sales Order Grid."
"Add to PDF Files","Add to PDF Files"
"How to add to PDF Invoice","How to add to PDF Invoice"
"Add to Confirmation Emails","Add to Confirmation Emails"
"How to insert to Transactional Emails","How to insert to Transactional Emails"
"Select All","Select All"
"Attribute Information","Attribute Information"
"Manage Labels/Options","Manage Labels/Options"
"Please select an option","Please select an option"
"View Full Size","View Full Size"
"The attribute has been deleted.","The attribute has been deleted."
"We can't delete the attribute right now.","We can't delete the attribute right now."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"This attribute no longer exists.","This attribute no longer exists."
"Manage Attributes","Manage Attributes"
"Please correct the data sent.","Please correct the data sent."
"Default label value must not be empty.","Default label value must not be empty."
"Something went wrong while saving the entity.","Something went wrong while saving the entity."
"The attribute has been saved.","The attribute has been saved."
"The Attribute with the ""%1"" ID doesn't exist.","The Attribute with the ""%1"" ID doesn't exist."
"Default label is required.","Default label is required."
